time_s,request_rate_rps,avg_service_time_ms,pool_size,p99_ms,cpu_usage_pct,heap_used_pct,queue_length,,,,
2036,314,277.7261312,54,544.7291901,35.86194137,35.02414091,81.30223819,,,,
2037,289,322.9455634,54,576.4518747,36.03675719,35.56103236,77.53766524,,,,
2038,321,317.8835921,54,631.4119347,36.97130116,35.8284137,77.20709653,,,,
2039,299,283.4487571,54,598.4330119,39.43773254,34.64355512,70.81907981,,,,
2040,312,198.2503367,54,575.3669823,38.58848366,35.13905545,80.73968544,,,,
2041,295,256.7316597,48,629.3914211,39.36697024,34.61060735,110.009648,,,,
2042,295,240.1842672,48,590.6971221,43.07216702,34.41543947,108.2902914,,,,
2043,301,265.3766645,48,617.8289124,42.24266188,35.15719597,100.4672508,,,,
2044,292,263.8506212,48,531.114941,38.01233899,34.65490952,97.11362018,,,,
2045,278,288.6750349,48,628.7690817,38.18433963,34.58518782,99.08259565,,,,
2046,271,265.4634348,48,619.7291168,38.26312926,35.44293827,90.99411781,,,,
2047,281,281.9724113,48,633.8134983,35.9190573,35.10994815,88.10320865,,,,
2048,316,370.3245141,48,444.3507949,43.59162592,33.52289951,99.86192548,,,,
2049,306,185.2731474,48,447.1177663,46.21820842,33.74360715,100.8443064,,,,
2050,303,301.7063863,48,550.729651,37.72700409,34.55682866,95.79943354,,,,
2051,292,313.6141767,47,599.3582393,42.68173798,35.60238108,104.9832424,,,,
2052,300,173.7332644,47,367.4196386,50.09177947,33.45775543,118.5897309,,,,
2053,297,255.8470033,47,510.9136973,45.41374504,33.84786549,106.4524911,,,,
2054,288,328.1299931,47,698.2154313,42.10290051,35.05069062,104.1053642,,,,
2055,268,296.8655513,47,622.5710031,37.62249226,35.35676326,100.7799719,,,,
2056,317,278.4628178,47,334.3213576,55.72271201,33.22292864,115.3828011,,,,
2057,305,331.7297803,47,377.0144123,47.08415948,34.02199927,109.1881251,,,,
2058,290,271.5350802,47,482.9162618,40.56383257,34.65193346,106.995685,,,,
2059,292,288.1940512,47,526.4371201,43.3906285,35.13337898,107.6383701,,,,
2060,328,302.7933022,47,306.5218993,52.63577207,32.54972009,114.6099855,,,,
2061,309,349.7497664,48,617.4263861,38.93306579,34.05097997,101.5410614,,,,
2062,278,324.0979409,48,715.1038975,34.05421429,34.82438849,97.58185756,,,,
2063,284,254.4102773,48,586.0806765,39.531938,35.62931935,98.08122746,,,,
2064,315,289.59409,48,335.2742642,48.24506603,33.61186638,114.4889424,,,,
2065,268,211.9076469,48,602.245608,34.18570061,34.81793863,97.28493522,,,,
2066,297,271.6420918,48,539.2179528,38.91120886,34.65533585,99.98586141,,,,
2067,322,240.3893334,48,295.9197547,52.0508284,32.39713293,113.0631757,,,,
2068,283,390.398177,48,648.4203008,34.44498575,34.71747473,92.93976816,,,,
2069,293,253.2006998,48,540.3925248,37.04064411,33.9944744,98.95144753,,,,
2070,331,255.0941052,48,304.0200133,51.39246428,34.21055872,115.6347494,,,,
2071,296,239.4867991,54,634.616113,34.73638181,34.20636515,89.99309973,,,,
2072,300,276.6862844,54,688.2193091,36.22556394,34.3873738,81.30879103,,,,
2073,330,307.8354443,54,671.2781788,38.87241399,34.17442985,79.55942267,,,,
2074,297,254.1076461,54,615.3320014,36.92549978,36.04645791,72.95838373,,,,
2075,308,316.7518047,54,679.3480035,36.93351495,35.56456818,79.22679432,,,,
2076,284,346.7929696,54,619.2119878,38.371218,34.88094746,76.81595768,,,,
2077,307,258.7693002,54,588.6657778,37.3958982,35.94823051,77.22384172,,,,
2078,296,392.6853029,54,617.731857,35.75309733,34.73034688,72.46995261,,,,
2079,288,275.0286007,54,690.3619975,37.69934216,34.89438195,81.66293646,,,,
2080,329,282.9742806,54,640.334814,35.48886388,36.05952106,73.82143755,,,,
2081,291,303.9513042,48,729.6869385,39.57294879,35.32491081,108.7508275,,,,
2082,278,344.9435369,48,668.0773356,37.01425397,35.4889144,91.09115725,,,,
2083,299,252.4432218,48,557.4003711,40.07571875,33.6653421,101.1903808,,,,
2084,290,350.5687275,48,594.9042004,39.19816673,34.28297758,95.27599862,,,,
2085,282,286.6750304,48,638.6005231,35.27496679,35.74670904,93.13542633,,,,
2086,320,273.9095039,48,313.2402323,50.30528544,33.54511424,117.5276959,,,,
2087,297,311.1531022,48,554.8378609,39.40641137,34.40614632,97.07444407,,,,
2088,259,351.8259788,48,583.4516921,36.19929877,36.70525418,86.92659447,,,,
2089,318,296.7568906,48,336.6750842,49.0398428,33.19709223,115.3417901,,,,
2090,295,287.1229049,48,570.4151833,39.64887234,34.50735399,102.475732,,,,
2091,297,280.5972212,60,638.1813485,38.16128742,35.26417684,74.11381872,,,,
2092,301,309.8192268,60,667.8453106,35.01454366,35.37473715,61.83695883,,,,
2093,300,359.6082106,60,716.2275957,35.97235645,34.73566052,58.82748674,,,,
2094,296,329.7289984,60,624.3482981,37.7164547,35.33155092,65.38625884,,,,
2095,286,353.7116988,60,634.3292509,38.35707773,34.03477058,56.22507991,,,,
2096,302,229.2687332,60,543.2962812,38.66931965,35.32308334,58.22207544,,,,
2097,311,260.7419626,60,551.8928967,35.17699657,34.84761619,68.16951675,,,,
2098,308,250.6002486,60,624.7417817,36.259997,35.70829092,59.09043836,,,,
2099,296,322.2054544,60,540.7742594,34.75854867,34.37017911,61.26743364,,,,
2100,282,208.5216257,60,539.6690731,35.68396657,34.47105851,66.74617445,,,,
2101,707,297.8396135,52,372.1364887,60.50163163,33.20431915,125.8222061,,,,
2102,714,300.1791486,52,366.8462028,59.33802132,32.98846976,147.9633891,,,,
2103,687,338.9444336,52,370.8919458,60.25363041,34.40830322,146.8276185,,,,
2104,652,312.9265167,52,365.6550369,60.83963783,33.56566514,155.7786223,,,,
2105,664,364.252438,52,350.1045424,58.76869884,33.4911687,156.3892573,,,,
2106,736,342.7684064,52,343.3809281,59.41267359,33.93868168,160.397011,,,,
2107,682,268.2458312,52,353.9482887,60.68348689,34.71921789,163.7104811,,,,
2108,692,260.8307037,52,362.5541607,58.92298477,33.31130998,164.8743995,,,,
2109,667,325.1975433,52,386.5781832,60.50322531,34.49798682,164.7523001,,,,
2110,667,317.0184902,52,368.6245379,60.29631323,34.76838277,159.5886211,,,,
2111,675,334.0762363,48,438.0269544,63.44496212,34.41481268,182.9372042,,,,
2112,726,283.4626826,48,456.6616182,60.575198,33.40580125,188.3737718,,,,
2113,697,295.7721922,48,404.7734362,61.93938036,33.04110573,188.1597921,,,,
2114,700,290.87173,48,390.8372432,60.98270039,32.91237089,181.0983777,,,,
2115,682,321.2064374,48,351.3401025,62.98182844,33.9280875,180.3197993,,,,
2116,713,295.8323298,48,348.6265299,61.69007443,33.18462974,182.660982,,,,
2117,684,290.5088272,48,347.2463895,58.43512422,34.25457728,187.6137093,,,,
2118,696,209.7021657,48,330.0660335,59.69760724,34.81508738,179.6368435,,,,
2119,695,299.4084465,48,393.5945342,58.10135045,34.68098996,186.9290207,,,,
2120,715,297.9889287,48,377.3367909,60.86347659,34.19457152,184.4167922,,,,
2121,701,358.3729476,54,399.8928186,62.4557235,33.15639078,176.8670638,,,,
2122,677,269.003377,54,372.2479249,60.17779712,33.7745738,176.7953718,,,,
2123,691,284.0783667,54,437.7466169,61.67361345,33.51695412,167.5184918,,,,
2124,669,274.4033995,54,346.2892267,58.33692308,33.96558073,165.4966179,,,,
2125,708,276.0254578,54,354.4310482,61.8212427,32.7801871,167.1467403,,,,
2126,733,268.3863357,54,333.6535168,59.64036911,34.30372246,165.1692935,,,,
2127,662,276.0238201,54,372.6732377,62.64154477,34.61038116,164.7034638,,,,
2128,677,305.4899105,54,384.5527581,60.17761622,34.13351077,170.9593747,,,,
2129,696,282.0841959,54,355.3333101,62.72780685,34.03493883,165.5084874,,,,
2130,715,272.5422242,54,398.1236547,60.23085862,33.90442511,163.1005554,,,,
2131,677,285.7042629,62,623.567398,61.97106674,35.40917072,156.2854111,,,,
2132,738,208.7573686,62,676.2637091,64.51138766,35.98508509,155.157126,,,,
2133,700,246.4859791,62,593.3759439,64.31590474,35.75968995,154.6729986,,,,
2134,672,359.3186528,62,572.328085,63.4780119,35.90631082,148.6950902,,,,
2135,717,417.1605475,62,610.0847819,63.26947443,36.45432294,152.9559238,,,,
2136,736,305.7115914,62,651.9621899,63.62273593,36.0935159,155.8825599,,,,
2137,714,332.3869288,62,563.1820117,63.14876765,36.35840507,151.1925788,,,,
2138,664,268.1763592,62,577.9577676,60.92301385,35.60456037,147.1775083,,,,
2139,691,341.0845627,62,584.6102741,63.70576376,35.93309385,151.0680723,,,,
2140,686,282.2117309,62,551.142594,60.2260719,35.7622617,151.7280135,,,,
2141,720,338.7276903,70,639.8422287,65.22653257,37.87857446,127.5141227,,,,
2142,746,329.3958338,70,666.0175992,62.3084513,37.10663378,136.50995,,,,
2143,692,372.7238798,70,673.0198131,61.05159424,36.6783784,131.0234263,,,,
2144,682,230.3863277,70,593.2312835,63.0517825,37.25337355,128.0083945,,,,
2145,698,267.0040906,70,596.2230827,62.0233229,37.46493742,131.6557876,,,,
2146,676,327.6096152,70,648.8949245,63.5670114,36.9626067,129.9081058,,,,
2147,717,317.233158,70,605.8067021,64.16093323,35.81057817,121.2897377,,,,
2148,721,280.6349577,70,648.7596386,63.82137486,37.88259381,135.5047851,,,,
2149,724,290.7864647,70,618.483476,66.51334625,37.78955109,135.3777116,,,,
2150,710,327.0736437,70,587.4354027,63.28266677,37.84980682,121.691994,,,,
2151,689,241.4451357,64,637.5474683,64.0728598,36.70840277,159.5463728,,,,
2152,710,404.0379869,64,686.3326222,65.88793943,37.06689893,150.4158544,,,,
2153,732,333.7484392,64,696.2846984,66.28459058,36.43500705,147.9145461,,,,
2154,707,277.9663432,64,629.0792004,64.50381129,37.06992811,141.0797408,,,,
2155,702,251.0754537,64,596.9863952,62.78081814,37.27477712,149.9185221,,,,
2156,707,232.8826106,64,590.1244202,64.34848437,37.52093452,147.3434667,,,,
2157,712,325.0245672,64,581.8229906,62.49554011,37.59680657,144.1474625,,,,
2158,678,212.4095394,64,552.5278651,64.49216592,36.11205302,148.1152376,,,,
2159,678,327.2258835,64,632.9348563,63.02284138,36.8949196,146.0264419,,,,
2160,733,341.6794737,64,625.5810372,67.72701132,37.09112525,136.767897,,,,
2161,689,347.6667033,70,564.7133203,62.89175133,37.22303803,133.3809095,,,,
2162,670,270.3297245,70,664.4490235,65.80554827,37.94897948,138.1923906,,,,
2163,699,340.973099,70,662.5746631,62.36157026,36.74713727,130.5541306,,,,
2164,678,281.8611436,70,622.1923399,63.97225709,36.89849219,126.8292945,,,,
2165,690,132.4327645,70,602.7359961,64.32275368,36.79533781,119.5875913,,,,
2166,710,230.167963,70,629.0097893,63.63171269,36.03926425,130.3156698,,,,
2167,686,385.7773899,70,587.0583357,62.25445057,38.50059425,124.1063561,,,,
2168,706,252.1636921,70,619.389104,63.92574764,37.99671353,132.3222695,,,,
2169,697,240.9270625,70,604.9854278,64.34398541,37.87149799,132.9835912,,,,
2170,726,281.5565786,70,603.3848008,64.25874413,37.70041276,129.4884623,,,,
2171,743,332.1844422,64,673.7833048,61.94584077,37.12227985,146.6949145,,,,
2172,685,301.7085929,64,667.3407143,63.91405223,36.33046909,153.5984409,,,,
2173,685,252.3740936,64,620.5190574,63.62066181,37.02038956,150.7062284,,,,
2174,710,310.0698985,64,608.6334698,64.60053066,37.03350734,141.4527907,,,,
2175,745,270.1560809,64,619.3342022,64.70978765,37.10537805,137.3663915,,,,
2176,716,406.322479,64,587.521106,65.99049301,36.34360465,143.8024537,,,,
2177,707,348.9894345,64,625.2104505,64.076715,36.4266894,154.0751895,,,,
2178,671,250.7637466,64,662.4967515,58.17625175,36.28687947,143.2623021,,,,
2179,689,254.8802995,64,546.7308703,60.89169796,36.54751891,144.2959692,,,,
2180,677,298.9410536,64,568.7629484,63.55831752,36.42839554,144.9540352,,,,
2181,722,300.481367,70,624.9152655,65.15579548,36.36399317,137.9686133,,,,
2182,635,215.2832188,70,648.9943724,63.76801441,37.48795445,137.6982405,,,,
2183,722,356.2985493,70,648.2886752,63.74024665,37.62436223,140.4595536,,,,
2184,716,371.054618,70,628.4845475,64.70854681,36.48884973,126.7903006,,,,
2185,678,283.62116,70,580.414578,61.13763706,37.47312355,137.4923118,,,,
2186,675,301.4349643,70,684.7135925,63.2302432,36.88940244,126.8535181,,,,
2187,674,341.3240933,70,587.144697,61.0567365,36.70947484,124.3742491,,,,
2188,700,329.8920021,70,547.3886145,65.05914757,37.62813704,124.8177772,,,,
2189,708,401.1196412,70,595.7357013,62.49729725,37.43572969,127.1610575,,,,
2190,745,339.0588182,70,606.8417481,64.66395244,37.45528745,129.3530367,,,,
2191,736,275.1349551,64,653.0785642,64.65352801,37.43964275,153.1522881,,,,
